name,avg_rating,num_of_reviews,latitude,longitude,zip_code,Delivery,Dine-in,Takeout,Good for kids,Casual,Dinner,Lunch,Monday_open,Tuesday_open,Wednesday_open,Thursday_open,Friday_open,Saturday_open,Sunday_open,Monday_close,Tuesday_close,Wednesday_close,Thursday_close,Friday_close,Saturday_close,Sunday_close
WV Pizza,3.9,163,42.735625299999995,-73.7021085,12189,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bella's,4.3,75,40.7843963,-74.69681829999999,07930,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rasco's,4.4,74,40.8036761,-73.9916495,07020,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matty G's Pizzeria,4.5,34,41.709042,-73.903442,12601,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domino's Pizza,3.7,46,39.875166,-74.8153914,08055,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony's Pizza,3.9,28,40.640166099999995,-74.0195681,11220,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GJP Italian Eatery,3.7,28,43.316733,-76.41055899999999,13069,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tantalo’s Pizzeria,4.3,33,43.253723099999995,-77.7148989,14612,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melanzana Pizza 1,3.7,98,39.9561512,-74.5581394,08015,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pizza Cucina,4.5,88,40.9174827,-74.3591052,07082,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primo Pizza & Wings,3.4,68,40.520302,-74.357798,08837,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roma Pizzeria & Restaurant,4.5,24,41.036864,-74.294591,07420,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stewart's Shops,4.3,17,41.987021999999996,-73.98765999999999,12449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trattoria San Giorgio, Inc.",3.9,48,41.785382299999995,-73.6941337,12545,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
III Brothers Pizza,4.4,18,39.409228299999995,-74.5661162,08234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primavera's Pizzeria & Restaurant,4.5,48,40.6809399,-73.3596233,11757,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pudgies Pizza & Subs,2.7,36,42.349471099999995,-77.3084246,14810,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fast foods,4.5,28,43.0653332,-76.1567669,13208,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Als Pizza,4.0,28,40.5406803,-74.1477484,10308,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerard’s Pizza & Pasta,4.4,53,41.236386499999995,-73.9161221,10520,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kingdom Pizza,4.6,48,40.541480799999995,-74.17846639999999,10312,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerlanda's Pizza Cafe,3.8,16,40.50264,-74.45218489999999,08901,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chianti Wood Fired Pizza Italian Cuisine,4.3,46,40.7208671,-74.5561345,07924,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papa John's Pizza,3.5,48,40.9124767,-73.836618,10550,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stewart's Shops,4.7,45,44.22372,-74.46393599999999,12986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heights Pizza Plus,4.4,38,41.4929699,-74.0130707,12550,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Spezia Pizza,4.3,53,41.8710028,-73.70285,12581,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stewart's Shops,4.2,28,41.993922999999995,-74.08715,12401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony's pizza and pasta,4.4,68,43.053301,-74.350893,12078,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joey's Delicatessen,4.2,38,40.915131699999996,-73.7720983,10801,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avenue S Pizza,4.7,25,40.6006564,-73.9842098,11223,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hopewell Pizza and Deli,4.3,16,41.5960028,-73.794915,12533,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pizza Amore “The Wood Fire Way”,3.8,27,43.0509316,-78.87849159999999,14120,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomato N Basil,3.6,54,40.6774112,-73.9834107,11215,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raffaele's Pizzeria,4.6,28,41.059792,-74.017865,10965,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rogelio's Pizza,4.1,46,40.699002199999995,-73.9145544,11237,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diamond Grill,4.3,58,39.5610202,-75.45006269999999,08079,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papi’,4.8,47,41.0315534,-73.7742233,10606,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marchioni's Pizza & Pasta,4.0,95,39.7595259,-74.2470976,08005,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steiner's General Store & Diner,4.4,128,43.9333629,-75.8616108,13601,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelina's Pizza & Restaurant,4.1,35,40.8948344,-74.0443935,07601,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mille Grazie Pizzeria,4.6,128,40.7252289,-73.5602668,11554,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Umberto's of Garden City,3.7,38,40.716634899999995,-73.66127,11530,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEO'S PIZZERIA 🍕,4.9,118,40.6664435,-74.21516969999999,07201,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sal's Pizza II,4.6,123,40.9477299,-73.79430889999999,10804,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guiseppe's,4.4,264,42.850335,-73.4263197,12090,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biancas Pizza & Pasta,4.4,75,42.8745745,-73.3549699,12090,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack's Pizzeria,4.2,203,40.687326999999996,-75.17546399999999,08865,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony & Tina's Pizzeria,4.6,188,40.857581599999996,-73.8860807,10458,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crostini,4.0,108,40.6654617,-73.4520071,11762,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domino's Pizza,3.6,326,42.8895469,-78.876721,14202,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gino's Pizzeria,4.1,26,41.327336599999995,-74.18585929999999,10950,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A B C Pizza & Restaurant,4.3,128,41.4774587,-74.0233564,12553,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenwich House of Pizza,4.1,161,43.0976297,-73.5082329,12834,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loue's Place Pizza & Pasta,4.2,69,40.8288678,-74.1597743,07110,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominic's Pizza,4.6,178,42.3288412,-75.9663571,13862,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Village Pizza & Cafe South,4.6,108,40.0717632,-74.2171158,08701,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pizzafire North Plainfield,4.4,76,40.6148658,-74.454568,07060,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pizza Hut,3.4,148,39.669429199999996,-75.5072545,08070,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mama Francesca Pizzeria,4.2,121,39.7494705,-75.3084564,08085,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milano Pizza,4.3,38,39.8674417,-75.06351959999999,08031,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pantheon,4.1,234,42.182212899999996,-75.6322594,13787,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Original Giuseppes Pizza,4.7,85,40.5456216,-74.15881929999999,10312,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euro Pizza,4.2,87,40.5595316,-74.1682483,10312,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charred Brick Oven,4.3,67,40.6663427,-73.4866346,11783,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southy's Pizzeria,4.5,316,43.293339599999996,-73.6362781,12803,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piccolo's Pizza & Liquors,3.8,68,40.896333999999996,-74.16084699999999,07503,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bello Pranzo Pizza & Pasta,4.2,108,42.833048399999996,-73.9571521,12302,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salvatore's Old Fashioned Pizzeria,4.0,124,42.9524541,-77.5919842,14472,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salvatore's Old Fashioned Pizzeria,4.1,78,43.253284099999995,-77.6660319,14612,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salvatore's Old Fashioned Pizzeria,3.5,88,43.0913227,-77.609771,14623,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bricklayers Pub and Pizzeria,4.4,48,42.7887759,-73.9694456,12306,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sinapi's Pizza, Pasta & More",4.7,78,41.640293199999995,-73.8747406,12603,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Mark’s Pizzeria & Deli.,4.8,93,40.7155949,-74.0865779,07304,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domino's Pizza,3.4,315,40.6839546,-74.1015449,07002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milanese Pizza,4.3,188,40.0095844,-75.0127164,08077,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wild Brooklyn,3.7,68,40.712803099999995,-73.9625533,11211,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZA Late Night Pizza,3.4,158,40.6563267,-73.6455841,11570,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George's,4.1,135,40.8504356,-73.9371051,10033,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giuseppe's Pizzeria,4.4,148,42.928993999999996,-76.557373,13021,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cosmos,3.8,87,39.991662,-74.79354599999999,08060,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riccardo's Pizza,4.4,246,39.9546929,-75.0947994,08105,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJ's,4.2,187,40.640679,-73.994624,11219,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ronni's Pizzeria of Holland Ny,4.1,48,42.6415706,-78.5423718,14080,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Little Caesars Pizza,3.3,54,44.7010716,-73.4943591,12901,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rome Pizza,4.7,144,40.5915643,-74.4638018,08812,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B B's Pizzeria,4.4,123,43.0489909,-77.0922817,14513,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PizzaRev - Valley Stream, NY",4.4,35,40.6619423,-73.7205881,11581,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosa Pizza,3.0,138,40.2507665,-74.7783937,08638,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Little Caesars Pizza,4.0,88,40.2516527,-74.7876363,08618,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheeze Louiez Pizzeria,4.6,38,40.701138,-73.9411068,11206,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mi Familia,4.5,156,39.775318899999995,-75.1888053,08051,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pita & Pizza,3.4,118,40.79891,-73.24739799999999,11717,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Savarona's Pizzeria,4.1,97,40.8043815,-72.8595308,11967,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pizza Hut Express,3.8,182,40.700432,-73.6283285,11550,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domino's Pizza,4.2,188,43.4495776,-76.517433,13126,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domino's Pizza,3.7,158,39.866223,-75.07747309999999,08031,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrones Pizza,4.5,65,40.6681163,-74.35009889999999,07092,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ria Bella Pizza,4.6,148,40.7346623,-73.95529379999999,11222,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Little Caesars Pizza,3.4,48,40.567777799999995,-74.55138889999999,08805,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony's Pizza,4.7,78,40.9159252,-73.8376333,10550,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuscany Grill,4.1,98,40.6735824,-74.9148601,08826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mama Tina's Pizzeria,3.8,128,40.8206701,-73.9438883,10030,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chalet Fondue,4.0,88,42.3048667,-74.23006389999999,12496,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hilltop Quikstop Big Als,4.0,18,42.4069228,-76.5025663,14850,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Twin Trees Cicero,4.2,232,43.1780709,-76.0882693,13039,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pizza Supreme,4.1,18,42.9787604,-78.6754938,14221,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rix Country Store,3.6,68,42.7343043,-78.7311635,14127,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricotta's Pizza Pasta Subs,3.9,109,42.7342106,-78.7312089,14127,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santi Pizza,4.3,45,39.9597554,-75.00551589999999,08052,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Boloney’s Pier Village,3.7,58,40.301235,-73.9789807,07740,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joey's Gourmet Italian Restaurant & Pizzeria,3.1,58,41.1130377,-74.1063874,10901,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pat's Pizzeria,3.7,108,39.6750697,-74.9792101,08094,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domino's Pizza,3.5,154,40.6190922,-74.49495809999999,07059,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domino's Pizza,3.4,148,40.504221699999995,-74.6444638,08844,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I Love Pizza of Clifton Park,4.4,135,42.8700429,-73.82341,12065,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giampapa's Pizzeria,4.0,46,39.9517643,-74.1459478,08753,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OvoSodo,4.2,18,40.719024999999995,-73.839506,11375,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pizza Hut,3.5,65,41.2010174,-73.9845691,10993,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricottas pizza Niagara,4.4,168,42.8939588,-78.8847708,14201,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Crosta,4.1,88,40.766889,-73.954341,10021,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joey D's Brick Oven Pizza & Restaurant,4.2,18,40.0547098,-74.13819819999999,08723,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panzini's Pizza House,4.4,268,39.238135199999995,-74.8084214,08270,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabbiano's Pizzeria & Restaurant,3.8,56,41.4009493,-74.33014349999999,10924,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paradise Pizza & Restaurant,3.9,208,39.3955304,-75.03958469999999,08332,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camila’s to go,4.4,38,42.6968537,-73.767991,12211,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giovanni's pizza,4.6,98,41.0590924,-73.9574216,10913,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quentin Pizza,4.5,118,40.613136499999996,-73.9395297,11234,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenpoint Original Pizza,4.8,38,40.7256992,-73.9515065,11222,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inferno Pizzeria,3.0,68,42.9584189,-73.7910411,12118,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
King's Pizzeria & Italian Restaurant,4.4,178,40.4758474,-74.4906063,08873,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre's Pizza,4.4,98,39.322858,-74.514048,08402,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domino's Pizza,3.4,135,40.920774699999996,-73.1290501,11790,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alitalia,3.9,98,40.839684999999996,-73.875874,10460,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasquale's Pizzeria,4.7,44,40.1673511,-74.0632538,07719,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3L Boulevard Pizzeria,4.2,78,40.7344144,-73.87470019999999,11373,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunos Pizzeria & Restaurant,4.1,117,40.862446,-74.1251071,07055,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De Lorenzo's Pizza,4.1,15,40.2187007,-74.73609139999999,08629,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pino's Pizzeria,4.4,78,40.5518281,-74.2121682,10309,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelo's Pizza & Restaurant,4.5,125,40.460038499999996,-74.3604129,08872,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Molinari's,4.3,138,40.2055839,-74.0481732,07753,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pizza Hut Express,2.8,16,40.990099699999995,-74.3250994,07457,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Pepperonis Pizza,4.2,29,40.816568,-73.886682,10474,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Grande Chef,3.3,36,40.8490864,-73.9043851,10457,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John's Pizza,4.7,108,40.908858099999996,-73.8789434,10705,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crust N Fire,3.8,128,39.9033139,-74.83428889999999,08055,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uncle Sal's Pizza,3.9,158,40.861058,-74.753289,07828,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dino's Pizza,4.2,178,40.887741,-74.7261165,07828,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al's Famous,4.0,38,40.865341799999996,-73.8640583,10467,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bella Napoli Pizza & Pasta,4.1,68,40.865699,-73.864609,10467,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John's Pizzeria,3.6,78,40.680060399999995,-73.8209806,11420,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colloca Estate Winery,4.6,118,43.3242506,-76.71884589999999,13156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domino's Pizza,4.0,126,40.9462153,-72.9414336,11778,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sbarro,3.7,78,41.0972618,-73.9551098,10994,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pizza Palace Cafe,4.2,215,40.7332669,-73.8501672,11375,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sauly's Pizza,4.8,88,40.6997596,-73.6604631,11552,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe's Pizzeria,4.0,38,40.6655855,-73.6655213,11563,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
