name,street_address,zip_code,avg_rating,num_of_reviews,price,Monday_open,Monday_close,Tuesday_open,Tuesday_close,Wednesday_open,Wednesday_close,Thursday_open,Thursday_close,Friday_open,Friday_close,Saturday_open,Saturday_close,Sunday_open,Sunday_close,Delivery,Dine-in,Takeout,Good for kids,Casual,Dinner,Lunch
Hopewell Pizza and Deli,1116 NY-82,12533,4.3,16.0,1.0,7.0,20.0,7.0,20.0,7.0,20.0,7.0,20.0,7.0,20.0,7.0,20.0,7.0,20.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Tomato N Basil,226 4th Ave,11215,3.6,54.0,1.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,0.0,11.0,0.0,11.0,22.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Steiner's General Store & Diner,25511 NY-12,13601,4.4,128.0,1.0,6.0,21.0,6.0,21.0,6.0,21.0,6.0,21.0,6.0,21.0,6.0,21.0,6.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Angelina's Pizza & Restaurant,53 Linden St,07601,4.1,35.0,1.0,10.0,22.0,10.0,22.0,10.0,22.0,11.0,22.0,11.0,23.0,11.0,23.0,13.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mille Grazie Pizzeria,2063 Hempstead Turnpike,11554,4.6,128.0,1.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,11.0,21.0,11.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Umberto's of Garden City,361 Nassau Blvd,11530,3.7,38.0,2.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,11.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Sal's Pizza II,43 Quaker Ridge Rd,10804,4.6,123.0,1.0,11.0,21.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,12.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Guiseppe's,3680 NY-7,12090,4.4,264.0,1.0,12.0,22.0,12.0,22.0,12.0,22.0,12.0,22.0,12.0,22.0,12.0,22.0,12.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Jack's Pizzeria,405 Thomas St,08865,4.2,203.0,1.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Crostini,4952 Merrick Rd,11762,4.0,108.0,1.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gino's Pizzeria,30 Carpenter Pl,10950,4.1,26.0,2.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
A B C Pizza & Restaurant,198 Quassaick Ave,12553,4.3,128.0,1.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Greenwich House of Pizza,1251 NY-29,12834,4.1,161.0,2.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,23.0,11.0,23.0,11.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Loue's Place Pizza & Pasta,185 High St,07110,4.2,69.0,1.0,10.0,20.0,10.0,20.0,10.0,20.0,10.0,20.0,10.0,20.0,10.0,20.0,11.0,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Dominic's Pizza,7335 Collins St,13862,4.6,178.0,1.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,11.0,21.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Pizza Hut,"269 N. Broadway (Rt, 49",08070,3.4,148.0,1.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0,11.0,23.0,11.0,22.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Milano Pizza,527 E Browning Rd,08031,4.3,38.0,1.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,21.0,11.0,21.0,12.0,19.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Pantheon,3599 NY-79,13787,4.1,234.0,1.0,7.0,21.0,7.0,21.0,7.0,21.0,7.0,21.0,7.0,21.0,7.0,21.0,7.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Euro Pizza,3271 Richmond Ave,10312,4.2,87.0,2.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Southy's Pizzeria,75 Saratoga Ave,12803,4.5,316.0,1.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0,11.0,23.0,12.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Salvatore's Old Fashioned Pizzeria,31 W Main St,14472,4.0,124.0,2.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,12.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Salvatore's Old Fashioned Pizzeria,2044 Latta Rd,14612,4.1,78.0,2.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,12.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Salvatore's Old Fashioned Pizzeria,1460 E Henrietta Rd,14623,3.5,88.0,2.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
St. Mark’s Pizzeria & Deli.,420 West Side Ave,07304,4.8,93.0,1.0,7.0,20.0,7.0,20.0,7.0,20.0,7.0,20.0,7.0,21.0,7.0,21.0,7.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Cosmos,2 Madison Ave,08060,3.8,87.0,1.0,7.0,15.0,7.0,15.0,7.0,15.0,7.0,15.0,7.0,15.0,7.0,15.0,7.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Little Caesars Pizza,71 Smithfield Blvd,12901,3.3,54.0,1.0,15.0,20.0,15.0,20.0,15.0,20.0,15.0,20.0,15.0,20.0,12.0,20.0,12.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rosa Pizza,1870 N Olden Ave,08638,3.0,138.0,1.0,11.0,3.0,11.0,3.0,11.0,3.0,11.0,3.0,11.0,3.0,11.0,3.0,11.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Mi Familia,671 Bridgeton Pike Ste A,08051,4.5,156.0,2.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Savarona's Pizzeria,999 Montauk Hwy #22,11967,4.1,97.0,2.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0,11.0,22.0,11.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Little Caesars Pizza,600 W Union Ave,08805,3.4,48.0,1.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,11.0,22.0,12.0,21.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Mama Tina's Pizzeria,2649 Frederick Douglass Blvd,10030,3.8,128.0,1.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Santi Pizza,308 N Forklanding Rd,08052,4.3,45.0,1.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,23.0,10.0,23.0,10.0,21.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Tony Boloney’s Pier Village,72 Ocean Ave,07740,3.7,58.0,2.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Pat's Pizzeria,1056 S Black Horse Pike,08094,3.7,108.0,2.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,22.0,10.0,22.0,11.0,21.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Pizza Hut,91 S Rte 9w,10993,3.5,65.0,1.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Ricottas pizza Niagara,349 Niagara St,14201,4.4,168.0,1.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,11.0,21.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Panzini's Pizza House,1100 Dehirsch Ave,08270,4.4,268.0,2.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Paradise Pizza & Restaurant,2 E Main St,08332,3.9,208.0,2.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Domino's Pizza,1079 NY-25A,11790,3.4,135.0,1.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,1.0,11.0,1.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3L Boulevard Pizzeria,89-04 Queens Blvd,11373,4.2,78.0,2.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Angelo's Pizza & Restaurant,80 Main St,08872,4.5,125.0,2.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,13.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
John's Pizza,69 Devoe Ave,10705,4.7,108.0,1.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,11.0,22.0,12.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Crust N Fire,175 NJ-70,08055,3.8,128.0,2.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,22.0,10.0,22.0,10.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Al's Famous,786 Allerton Ave,10467,4.0,38.0,1.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,22.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Domino's Pizza,379 NY-25A Unit A,11778,4.0,126.0,1.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,1.0,11.0,1.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Sauly's Pizza,239 Nassau Blvd,11552,4.8,88.0,1.0,10.0,20.0,10.0,20.0,10.0,20.0,10.0,20.0,10.0,14.0,19.0,23.0,10.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Sal & Lloyd's Pizza Place,3850 Richmond Ave,10312,4.6,84.0,1.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Marotta's Bar-risto,611 Union St,12305,4.4,18.0,2.0,16.0,21.0,16.0,21.0,16.0,21.0,16.0,21.0,16.0,22.0,16.0,22.0,16.0,21.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
Northern Fried Chicken,104-02 Northern Blvd,11368,4.0,148.0,1.0,10.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,10.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Frantoni's Pizzeria & Ristorante,8025 Jericho Turnpike # B,11797,4.2,38.0,2.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Dino's Pizzeria,925 Broadway,10594,4.5,178.0,1.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Little Caesars Pizza,4 W Mount Eden Ave,10452,3.8,204.0,1.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,0.0,11.0,0.0,11.0,23.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Original Emilios Brick Oven,359 Mamaroneck Ave,10543,4.4,55.0,1.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bella Notte Italian Restaurant,63 E Main St,07424,4.1,128.0,2.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,12.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bruno Pizza,204 E 13th St,10003,4.5,176.0,2.0,12.0,15.0,12.0,15.0,12.0,15.0,12.0,15.0,12.0,15.0,12.0,15.0,12.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Bryant Park Pizza,1095 6th Ave,10036,3.9,28.0,3.0,11.0,19.0,11.0,19.0,11.0,19.0,11.0,19.0,11.0,19.0,11.0,19.0,11.0,19.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Alphonso’s Pizzeria Trattoria,525 Grand St,10002,4.1,138.0,2.0,11.0,21.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,21.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Locust Valley Pizza Cafe,192 Forest Ave,11560,4.6,74.0,1.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,22.0,10.0,22.0,11.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Clinton Square Pizza,201 Clinton St,10002,4.5,157.0,1.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,20.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Blaze Pizza,909 Broadhollow Rd,11735,4.0,18.0,1.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Skyline Pizzeria & Restaurant,130 Skyline Dr #7,07456,4.4,86.0,1.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,12.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Pecorinos New Windsor,318 Blooming Grove Turnpike,12553,4.6,38.0,1.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,12.0,20.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Amore Pizza & More,659 Old Liverpool Rd,13088,4.7,77.0,2.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,15.0,21.0,15.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Middle Island Pizza,586 Middle Country Rd,11953,4.1,257.0,2.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Uncle Joe's Pizza,2854 Middle Country Rd,11755,4.6,288.0,1.0,6.0,22.0,6.0,22.0,6.0,22.0,6.0,22.0,6.0,22.0,6.0,22.0,6.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Sayville Pizza,60 Main St,11782,4.1,148.0,1.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0,11.0,23.0,12.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
US Fried Chicken & Pizza,1231 Nostrand Ave. #3846,11225,3.9,28.0,1.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Crown Fried Chicken & Pizza,44 New Lots Ave,11212,3.7,88.0,1.0,9.0,1.0,9.0,1.0,9.0,1.0,9.0,1.0,11.0,2.0,11.0,2.0,11.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Crown Fried Chicken & Pizza,1263 Nostrand Ave.,11226,3.8,105.0,1.0,9.0,3.0,9.0,3.0,9.0,3.0,9.0,3.0,9.0,3.0,9.0,3.0,9.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Pronto Pizza,6 E Park Ave,08109,4.4,117.0,1.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,12.0,22.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Vidali's Pizza,31-06 21st St,11106,3.6,107.0,1.0,13.0,2.0,13.0,2.0,13.0,2.0,13.0,2.0,13.0,3.0,13.0,3.0,13.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Menlo Pizzeria,170 Lafayette Ave,08837,4.6,282.0,1.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,11.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Turano's Pizza Pasta Grill,609 Stuyvesant Ave,07071,4.1,78.0,1.0,10.0,20.0,10.0,20.0,10.0,20.0,10.0,20.0,10.0,20.0,10.0,20.0,12.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thirsty Bear,351 E Washington Ave,14901,3.9,38.0,1.0,8.0,13.0,8.0,13.0,8.0,13.0,8.0,13.0,8.0,13.0,8.0,13.0,8.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Columbus Circle Pizza,10 Columbus Circle Ste Sc101,10019,4.3,36.0,3.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gino's Pizza Place,351 Fries Rd,14150,4.6,185.0,1.0,10.0,20.0,10.0,20.0,10.0,20.0,10.0,20.0,10.0,20.0,10.0,20.0,10.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MonAlyssa Italian Restaurant & Pizzeria,1635 Bay Ave,08742,4.3,213.0,2.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0,11.0,23.0,12.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Papa John's Pizza,466 Central Ave,07108,3.4,164.0,1.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
Preet Gourmet Pizza & Deli,1035 Little Britain Rd,12553,4.0,53.0,1.0,8.0,18.0,8.0,18.0,8.0,18.0,8.0,18.0,8.0,18.0,8.0,18.0,8.0,18.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Cornerstone Pizzeria,71 E Mill Rd,07853,4.7,78.0,2.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Romanza Pizza & Pasta,38 NJ-72,08088,4.2,208.0,1.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,22.0,10.0,22.0,11.0,21.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Pasquale's,307 Main St #1,07005,4.4,108.0,1.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Papa John's Pizza,3746 3rd Ave.,10456,3.5,178.0,1.0,11.0,2.0,11.0,2.0,11.0,2.0,11.0,2.0,11.0,3.0,11.0,3.0,11.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Domino's Pizza,401 Harmony Rd Ste 23,08027,3.8,118.0,1.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Pontillo's Pizzerias,99 E Main St,14564,4.4,158.0,1.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,21.0,11.0,21.0,12.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Guinto's Pizzeria,774 Eayrestown Rd,08048,4.1,125.0,1.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,23.0,10.0,22.0,11.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Krazy Pizza and Wings (Broadway/myrtle),956 Broadway,11221,4.1,53.0,1.0,10.0,5.0,10.0,5.0,10.0,5.0,10.0,5.0,10.0,6.0,10.0,6.0,10.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Famous Famiglia,Terminal 5,11430,4.0,45.0,1.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Pizzette,191 Graham Ave,11206,4.6,68.0,2.0,16.0,23.0,16.0,23.0,16.0,23.0,16.0,23.0,16.0,23.0,11.0,23.0,11.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Livingston Pizza,73 W Mt Pleasant Ave,07039,4.4,78.0,1.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,11.0,21.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Sal & Joe's Pizza,300 S Lenola Rd,08052,4.6,294.0,2.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,12.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Adelphia Pizza,200 White Horse Rd,08043,4.1,108.0,1.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0,11.0,22.0,11.0,21.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Sue's Little Pizza Shop,1795 Ridge Rd,14519,4.7,193.0,1.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,20.0,11.0,21.0,11.0,21.0,12.0,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
V.I. Pizza,55 Covert Ave,11001,4.6,113.0,1.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
D'Anna's Pizzeria & Resturant,1743 Hempstead Turnpike,11003,4.3,153.0,2.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0,11.0,23.0,11.0,22.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Salvatore's Old Fashioned Pizzeria,1018 S Clinton Ave,14620,3.8,225.0,2.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,12.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
All Star Pizza,694 Arthur Kill Rd,10308,3.1,68.0,2.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
El Cuencanito,99-12 Alstyne Ave,11368,3.9,348.0,1.0,7.0,1.0,7.0,1.0,7.0,1.0,7.0,1.0,7.0,2.0,7.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
La Guadalupana Pizzeria,262A Riverdale Ave,10705,4.6,33.0,1.0,6.0,22.0,6.0,22.0,6.0,22.0,6.0,22.0,7.0,23.0,7.0,23.0,7.0,22.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Palermo's of Hamilton,310 Klockner Rd,08619,3.9,264.0,2.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Villa Rustica,73-28 Bell Blvd,11364,4.0,165.0,2.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,22.0,11.0,22.0,12.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Famous Pizza Express,570 Kappock St,10463,4.4,78.0,2.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,11.0,21.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
